;;;;Translations;;;;;;Linking;;;;;;
Concept ID;;Term;Source of definition;Dutch;French;German;Greek;Italian;Slovenian;Loterre Open Science Thesaurus;Terms4FAIRSkills;CCR metadata;Linked Open Vocabularies;LOV 2;ISO;Broader Concept
accessible_data_1;PrefLabel;accessible data;;toegankelijke gegevens;données accessibles;zugängliche Daten;προσβάσιμα δεδομένα;dati accessibili;dostopni podatki;http://data.loterre.fr/ark:/67375/TSO-KHFX8870-5;;;;;;
;Definition;Data that conform to the FAIR principle of accessibility.;;Gegevens die voldoen aan het FAIR-beginsel van toegankelijkheid.;Données conformes au principe d'accessibilité FAIR.;Daten, die dem FAIR-Prinzip der Zugänglichkeit entsprechen.;Δεδομένα που συμμορφώνονται με την αρχή της προσβασιμότητας FAIR.;Dati conformi al principio di accessibilità FAIR.;Podatki, ki ustrezajo načelom dostopnosti znotraj FAIR.;;;;;;;
administrative_data_2;PrefLabel;administrative data;;administratieve gegevens;données administratives;Verwaltungsdaten;διοικητικά δεδομένα;dati amministrativi;uradni podatki;;;;;;;http://data.loterre.fr/ark:/67375/TSO-MJRKBMDW-Q
;Definition;Administrative data refer to the set of units and data derived from an administrative source.;European Commission, Eurostat Glossary, https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Administrative_data;Administratieve gegevens verwijzen naar de reeks eenheden en gegevens die zijn afgeleid van een administratieve bron.;Les données administratives se réfèrent aux unités et données provenant d'une source administrative.;Verwaltungsdaten beziehen sich auf Einheiten und Daten, die aus administrativen Quellen stammen.;Τα διοικητικά δεδομένα αναφέρονται στο σύνολο των μονάδων και των δεδομένων που προέρχονται από μια διοικητική πηγή.;I dati amministrativi si riferiscono all'insieme di unità e dati derivati da una fonte amministrativa.;Uradni podatki se nanašajo na niz enot in podatkov, pridobljenih iz administrativnega vira.;;;;;;;
anonymisation_3;PrefLabel;anonymisation;;anonimisering ;anonymisation;Anonymisierung;ανωνυμοποίηση ;anonimizzazione;anonimizacija;;;;https://w3id.org/GDPRov#AnonymisationActivity;;ISO/TS 17975:2015(en), 3.1;
;AltLabel;anonymization;;;;;;;;;;;;;;
;Definition;Anonymisation is the process of removing any information that could lead to the identification of the data subject.;Eurito. (2019). D3.1 Design of Data Collection Phase. Zenodo. https://doi.org/10.5281/zenodo.3243500.;Anonimisering is het proces waarbij alle informatie die tot identificatie van de betrokkene kan leiden, wordt verwijderd.;L'anonymisation est le processus qui consiste à supprimer toute information pouvant conduire à l'identification du sujet concerné (par ex. une personne, une institution, etc.).;Unter Anonymisierung ist das Entfernen aller Informationen zu verstehen, die zur Identifizierung des Datensubjekts führen könnten.;Η ανωνυμοποίηση είναι η διαδικασία αφαίρεσης κάθε πληροφορίας που θα μπορούσε να οδηγήσει στην ταυτοποίηση του υποκειμένου των δεδομένων.;L'anonimizzazione è il processo di rimozione di qualsiasi informazione che potrebbe portare all'identificazione dell'interessato.;Anonimizacija je postopek odstranjevanja vseh informacij, na podlagi katerih bi bilo mogoče identificirati posameznika, na katerega se nanašajo osebni podatki.;http://data.loterre.fr/ark:/67375/TSO-VNNFL8WB-H;;;;;;
anonymised_data_4;PrefLabel;anonymised data;;geanonimiseerde gegevens;données anonymisées;anonymisierte Daten;ανωνυμοποιημένα δεδομένα;dati anonimizzati;anonimizirani podatki;;;;https://w3id.org/GDPRov#AnonymisedData;;ISO 5127:2017(en), 3.1.10.15;
;AltLabel;anonymized data;;;;;;;;;;;;;;
